timestamp,action,symbol,quantity,price
2025-04-28T13:36:16.226170,buy,CRWD,0.017724,423.16
2025-04-28T13:36:25.616562,buy,HOOD,0.152037,49.33
2025-04-28T13:38:15.196603,buy,DKNG,0.215674,33.73
2025-04-28T13:38:18.351884,buy,RIOT,0.941709,7.725
2025-04-28T13:38:18.702783,buy,MARA,0.51375,14.16
2025-04-28T13:38:19.533143,buy,ESTC,0.086733,83.875
2025-04-28T13:38:22.688113,buy,SHOP,0.074727,97.35
2025-04-28T13:40:21.011992,buy,FSLR,0.047354,142.08
2025-04-28T13:42:06.297250,buy,MRNA,0.237065,27.955
2025-04-28T13:48:58.373422,buy,BYND,2.595507,2.515
2025-04-28T13:51:27.783543,buy,SPCE,2.1432,3
2025-04-28T13:51:28.420161,buy,MSTR,0.017553,366.3
2025-04-28T13:55:49.511776,buy,W,0.206303,30.23
2025-04-28T13:55:53.449120,buy,CRON,3.484106,1.79
2025-04-28T13:57:30.838496,buy,TSLA,0.021142,286.11
2025-04-28T13:57:44.518425,buy,COIN,0.029612,204.27
2025-04-28T13:57:54.495495,buy,Z,0.091873,65.84
2025-04-28T14:00:00.590128,buy,NET,0.048129,120.02
2025-04-28T14:00:12.320826,buy,GME,0.213628,27.04
2025-04-28T14:00:17.017002,buy,RBLX,0.087749,65.83
2025-04-28T14:01:58.526672,buy,NVDA,0.0511,107.95
2025-04-28T14:02:03.207647,buy,PLTR,0.049285,111.925
2025-04-28T14:02:28.084838,buy,BABA,0.046177,119.46
2025-04-28T14:54:21.813687,buy,AMD,0.055064,95.67
2025-04-28T14:59:03.731589,buy,XPEV,0.261738,19.825
2025-04-28T14:59:10.080161,buy,UBER,0.066765,77.72
2025-04-28T15:07:54.885069,buy,TDOC,0.6952,7.24
2025-04-28T15:12:10.966984,buy,DOCU,0.060363,82.135
2025-04-28T15:12:16.470339,buy,LYFT,0.407057,12.18
2025-04-28T15:23:01.427253,buy,BNTX,0.045714,105.2
2025-04-28T15:23:12.775000,buy,TTD,0.089124,53.96
2025-04-28T15:23:13.104304,buy,OKTA,0.046768,102.83
2025-04-28T15:23:19.088690,buy,PYPL,0.074095,64.905
2025-04-28T15:27:28.335606,buy,DDOG,0.044969,100.525
2025-04-28T15:27:37.749721,buy,MDB,0.026405,171.2
2025-04-28T15:29:34.425128,buy,SNOW,0.027862,157.38
2025-04-28T15:32:03.322367,buy,SPOT,0.007213,598.78
2025-04-28T15:57:50.961892,sell,TSLA,0.021142,276.005
2025-04-28T15:58:01.711561,sell,RIOT,0.941709,7.47
2025-04-28T15:58:02.045484,sell,MARA,0.51375,13.73
2025-04-28T15:59:32.812833,buy,TSLA,0.016474,276.37
2025-04-28T15:59:52.904752,buy,RIOT,0.608663,7.48
2025-04-28T15:59:53.249923,buy,MARA,0.330872,13.76
2025-04-28T16:20:58.938165,buy,CL,0.047701,91.145
2025-04-28T16:25:05.376255,buy,DT,0.092635,46.23
2025-04-28T16:27:12.268062,buy,TWLO,0.044608,94.56
2025-04-28T16:32:18.500852,buy,CVS,0.064327,64.59
2025-04-28T17:25:17.522537,buy,ETSY,0.089629,45.66
2025-04-28T17:30:00.413980,buy,KHC,0.14009,28.775
2025-04-28T17:33:33.442589,buy,TGT,0.041717,95.18
2025-04-28T17:44:04.550479,buy,PINS,0.151976,25.735
2025-04-28T18:39:51.878919,buy,TSLA,0.026685,281.06
2025-04-28T18:39:55.341595,buy,NVDA,0.069865,107.35
2025-04-28T18:39:55.664229,buy,AMD,0.078563,95.465
2025-04-28T18:39:59.085970,buy,MRNA,0.274323,27.34
2025-04-28T18:40:01.293654,buy,BNTX,0.072957,102.8
2025-04-28T18:40:05.051832,buy,DKNG,0.226963,33.045
2025-04-28T18:40:12.376480,buy,CRWD,0.017798,421.395
2025-04-28T18:40:16.345519,buy,BYND,3.061224,2.45
2025-04-28T18:40:20.343875,buy,XPEV,0.378406,19.82
2025-04-28T18:40:20.686599,buy,COIN,0.037243,201.38
2025-04-28T18:40:24.095652,buy,RIOT,1.006711,7.45
2025-04-28T18:40:24.731331,buy,DOCU,0.091687,81.8
2025-04-28T18:40:28.194945,buy,NET,0.062458,120.08
2025-04-28T18:40:32.177448,buy,TTD,0.138992,53.96
2025-04-28T18:40:32.755377,buy,TDOC,1.054852,7.11
2025-04-28T18:40:33.096681,buy,ETSY,0.164708,45.535
2025-04-28T18:40:40.419726,buy,Z,0.113826,65.89
2025-04-28T18:40:45.073899,buy,PYPL,0.116324,64.475
2025-04-28T18:40:52.567824,buy,CRON,4.143646,1.81
2025-04-28T18:40:56.977846,buy,BABA,0.063559,118
2025-04-28T18:41:00.433008,buy,MSTR,0.020719,361.985
2025-04-28T18:41:00.783697,buy,HOOD,0.154735,48.47
2025-04-28T18:41:01.444694,buy,FSLR,0.053823,139.345
2025-04-28T18:41:09.880325,buy,CL,0.082264,91.17
2025-04-28T18:41:28.318784,buy,KHC,0.260688,28.77
2025-04-28T18:52:38.414579,buy,SPCE,1.558652,3.005
2025-04-28T19:10:09.402570,buy,CVS,0.071409,64.605
2025-04-28T19:53:03.700727,buy,SPOT,0.007589,598.76
2025-04-29T13:32:16.998669,sell,BNTX,0.072957,104.16
2025-04-29T13:32:20.141244,sell,XPEV,0.378406,19.02
2025-04-29T13:32:30.496896,sell,CL,0.082264,90.36
2025-04-29T13:35:12.282865,buy,MARA,0.340287,14.13
2025-04-29T13:38:25.422877,buy,PLTR,0.041676,113.64
2025-04-29T13:38:25.766099,buy,SNOW,0.029633,159.825
2025-04-29T13:45:23.944444,buy,TWLO,0.047817,96.075
2025-04-29T13:58:55.987497,buy,ROKU,0.064978,69.64
2025-04-29T14:08:32.879003,buy,RBLX,0.067634,65.9
2025-04-29T14:11:14.319089,sell,SPCE,1.558652,2.96
2025-04-29T14:21:55.168228,sell,RIOT,1.006711,7.38
2025-04-29T14:24:05.841617,buy,OKTA,0.041631,109.79
2025-04-29T14:24:09.819624,buy,UBER,0.058351,78.33
2025-04-29T14:26:12.222407,buy,NIO,1.040739,4.26
2025-04-29T14:28:29.576423,buy,MDB,0.025032,174.45
2025-04-29T14:28:31.205388,buy,LYFT,0.355024,12.3
2025-04-29T14:32:58.955712,buy,W,0.139058,30.46
2025-04-29T16:06:48.016900,sell,SPOT,0.007589,569.11
2025-04-29T17:01:56.549538,buy,AMC,1.580877,2.68
2025-04-29T19:45:33.571006,buy,SNAP,0.459615,9.08
2025-04-29T19:47:58.300998,sell,FSLR,0.053823,137.08
2025-04-29T19:59:17.098762,buy,GME,0.154513,27.32
2025-04-30T13:33:19.113804,sell,TSLA,0.026685,278.13
2025-04-30T13:33:19.454962,sell,NVDA,0.069865,104.93
2025-04-30T13:33:19.785808,sell,AMD,0.078563,93.47
2025-04-30T13:33:20.599733,sell,ROKU,0.064978,66.7
2025-04-30T13:33:20.918054,sell,DKNG,0.226963,32.595
2025-04-30T13:33:21.240290,sell,PLTR,0.041676,111.68
2025-04-30T13:33:21.550924,sell,SNOW,0.029633,155.01
2025-04-30T13:33:21.874377,buy,ZM,0.05441,76.42
2025-04-30T13:33:22.192698,sell,CRWD,0.017798,419.625
2025-04-30T13:33:23.926834,sell,COIN,0.037243,199.52
2025-04-30T13:33:24.486845,sell,MARA,0.340287,13.795
2025-04-30T13:33:24.811953,sell,DOCU,0.091687,79.92
2025-04-30T13:33:25.132196,sell,NET,0.062458,118.08
2025-04-30T13:33:25.717449,sell,MDB,0.025032,168.72
2025-04-30T13:33:26.152052,sell,TTD,0.138992,52.52
2025-04-30T13:33:26.483434,sell,OKTA,0.041631,108.15
2025-04-30T13:33:27.304946,sell,UBER,0.058351,78.07
2025-04-30T13:33:27.628926,sell,LYFT,0.355024,12.155
2025-04-30T13:33:27.950528,sell,TWLO,0.047817,93.13
2025-04-30T13:33:29.655069,sell,W,0.139058,29.53
2025-04-30T13:33:30.766880,sell,AMC,1.580877,2.59
2025-04-30T13:33:31.178371,sell,GME,0.154513,26.97
2025-04-30T13:33:32.485170,sell,HOOD,0.154735,47.115
2025-04-30T13:33:32.825752,sell,RBLX,0.067634,63.84
2025-04-30T13:34:46.984118,buy,BNTX,0.058234,103.97
2025-04-30T13:34:58.267626,buy,FSLR,0.049256,122.92
2025-04-30T13:38:10.900347,sell,ETSY,0.164708,44.83
2025-04-30T13:38:17.091932,buy,DT,0.128053,45.86
2025-04-30T13:40:18.584879,buy,RIOT,0.82563,7.14
2025-04-30T13:40:25.624853,buy,SHOP,0.063384,93.005
2025-04-30T13:42:20.126651,sell,NIO,1.040739,4.075
2025-04-30T13:42:25.257844,buy,ESTC,0.069221,82.605
2025-04-30T13:42:35.054793,sell,PYPL,0.116324,64.09
2025-04-30T13:42:43.200729,buy,SPCE,2.034875,2.81
2025-04-30T13:49:23.254059,buy,CL,0.06247,91.59
2025-04-30T13:53:56.910061,buy,AEP,0.052957,106.42
2025-04-30T13:54:05.790727,buy,NNN,0.139015,40.54
2025-04-30T13:58:21.002805,buy,SRE,0.074673,73.205
2025-04-30T14:04:35.331622,buy,PEP,0.040414,133.23
2025-04-30T14:08:48.896502,sell,CRON,4.143646,1.805
2025-04-30T17:14:17.010089,buy,SPOT,0.009056,597.98
2025-04-30T18:15:07.896347,sell,CVS,0.071409,66.56
2025-05-02T13:36:12.343502,buy,ROKU,0.056793,59.02
2025-05-02T13:36:13.537269,buy,PLTR,0.027922,120.045
2025-05-02T13:36:17.489848,buy,COIN,0.016375,204.7
2025-05-02T13:36:21.009408,buy,MDB,0.019403,172.755
2025-05-02T13:36:23.044652,sell,TDOC,1.054852,7
2025-05-02T13:36:24.033519,buy,ETSY,0.076773,43.66
2025-05-02T13:36:31.978994,buy,GME,0.121095,27.68
2025-05-02T13:36:38.363760,sell,CL,0.06247,90.975
2025-05-02T13:38:09.383830,buy,CRWD,0.007454,435.365
2025-05-02T13:38:10.413003,buy,NIO,0.793496,4.09
2025-05-02T13:38:10.982933,buy,XPEV,0.164075,19.78
2025-05-02T13:38:19.454603,buy,TTD,0.060267,53.85
2025-05-02T13:38:27.293351,buy,LYFT,0.256553,12.65
2025-05-02T13:38:36.185861,buy,W,0.100773,32.205
2025-05-02T13:38:50.768062,sell,KHC,0.260688,28.6
2025-05-02T13:40:17.403701,buy,MARA,0.215831,14.2
2025-05-02T13:41:58.696366,buy,TWLO,0.030534,98.86
2025-05-02T13:45:21.238270,buy,PYPL,0.044808,66.36
2025-05-02T13:48:21.778483,buy,TSLA,0.010359,282.75
2025-05-02T13:48:22.279176,buy,NVDA,0.025679,114.06
2025-05-02T13:50:36.464525,buy,CRON,1.527419,1.86
2025-05-02T13:52:02.196201,buy,AMD,0.028407,98.5
2025-05-02T14:15:49.300414,sell,SRE,0.074673,75.5
2025-05-02T14:43:15.086686,buy,DDOG,0.028005,106.755
2025-05-02T14:45:17.807743,buy,HOOD,0.059419,49.56
2025-05-02T15:23:40.743486,buy,CVS,0.047161,67.82
2025-05-02T15:24:46.615435,buy,LI,0.125516,25.1
2025-05-02T17:00:42.738398,buy,HSY,0.019188,161.73
2025-05-02T19:26:42.159358,sell,NNN,0.139015,41.815
2025-05-02T19:55:35.182751,buy,UBER,0.037298,84.29
2025-05-05T13:32:55.927922,sell,TSLA,0.010359,281.645
2025-05-05T13:32:56.241614,sell,NVDA,0.025679,113.7
2025-05-05T13:33:29.193400,sell,DDOG,0.028005,104.52
2025-05-05T13:33:45.217512,sell,NIO,0.793496,3.955
2025-05-05T13:33:45.546246,sell,LI,0.125516,24.92
2025-05-05T13:33:45.877513,sell,XPEV,0.164075,19.45
2025-05-05T13:33:46.210906,sell,COIN,0.016375,200.685
2025-05-05T13:33:46.550203,sell,RIOT,0.82563,8
2025-05-05T13:33:46.895946,sell,MARA,0.215831,13.675
2025-05-05T13:34:18.094666,sell,ESTC,0.069221,82.505
2025-05-05T13:34:18.438428,sell,MDB,0.019403,171.705
2025-05-05T13:34:51.228050,sell,SNAP,0.459615,8.45
2025-05-05T13:35:23.681791,sell,CRON,1.527419,1.82
2025-05-05T13:35:39.448558,sell,GME,0.121095,27.29
2025-05-05T13:35:55.953204,sell,HOOD,0.059419,46.63
2025-05-05T13:49:35.116039,sell,BNTX,0.058234,102.53
2025-05-05T13:54:16.991950,sell,W,0.100773,31.535
2025-05-05T13:57:23.997910,sell,PEP,0.040414,131.92
2025-05-05T16:31:09.809783,sell,AMD,0.028407,100.845
2025-05-05T16:31:10.127930,sell,MRNA,0.274323,28.04
2025-05-05T16:31:10.680217,sell,ROKU,0.056793,60.95
2025-05-05T16:31:11.223903,sell,PLTR,0.027922,124.83
2025-05-05T16:31:11.813590,sell,ZM,0.05441,79.135
2025-05-05T16:31:12.140029,sell,CRWD,0.007454,449.52
2025-05-05T16:31:12.942439,sell,BYND,3.061224,2.57
2025-05-05T16:31:15.685079,sell,TTD,0.060267,56.37
2025-05-05T16:31:16.509414,sell,ETSY,0.076773,45.66
2025-05-05T16:31:16.844872,sell,UBER,0.037298,86.085
2025-05-05T16:31:17.168914,sell,LYFT,0.256553,12.965
2025-05-05T16:31:17.476243,sell,TWLO,0.030534,105.36
2025-05-05T16:31:17.793611,sell,Z,0.113826,68.61
2025-05-05T16:31:18.375476,sell,SPOT,0.009056,645.01
2025-05-05T16:31:18.694735,sell,SHOP,0.063384,98.95
2025-05-05T16:31:19.227503,sell,PYPL,0.044808,68.81
2025-05-05T16:31:20.050128,sell,DT,0.128053,48.17
2025-05-05T16:31:21.359530,sell,SPCE,2.034875,2.96
2025-05-05T16:31:21.660848,sell,BABA,0.063559,126.54
2025-05-05T16:31:21.977420,sell,MSTR,0.020719,380.52
2025-05-05T16:31:22.760648,sell,FSLR,0.049256,125.545
2025-05-05T16:31:27.466393,sell,HSY,0.019188,165.56
2025-05-05T16:31:29.426432,sell,AEP,0.052957,107.3
2025-05-05T16:31:33.616846,sell,CVS,0.047161,67.98
2025-05-05T17:01:03.692275,buy,PLTR,0.044162,123.93
2025-05-05T17:02:29.165840,sell,PLTR,0.044162,123.62
2025-05-05T17:03:53.946375,buy,PLTR,0.044186,123.86
2025-05-05T17:05:18.565698,sell,PLTR,0.044186,123.83
2025-05-05T17:06:43.464779,buy,PLTR,0.044154,123.95
2025-05-05T17:08:08.244551,sell,PLTR,0.044154,123.755
2025-05-05T17:08:16.362304,buy,CRON,2.913973,1.85
2025-05-05T17:09:33.700751,buy,PLTR,0.043581,123.72
2025-05-05T17:09:38.233209,buy,TTD,0.096172,56.065
2025-05-05T17:24:13.661756,buy,BNTX,0.051539,101.48
2025-05-05T18:44:00.800533,buy,MRNA,0.184711,27.89
2025-05-06T10:00:05.257634-07:00,sell,CRON,2.913973,1.87
2025-05-06T10:02:54.850883-07:00,buy,FSLR,0.056963,129.5
2025-05-06T10:06:50.604066-07:00,sell,FSLR,0.056963,129.5
2025-05-06T10:08:11.656154-07:00,buy,W,0.242039,30.02
